id_reserva;cliente_nombre;dni_pasaporte;telefono;correo;paquete_tour;fecha_viaje;precio_soles;metodo_pago;guia_asignado;fuente_no_estructurada;procesamiento_aplicado;resultado_extraido;estado_procesamiento
RES-210;Cynthia Ramírez Chávez;50890504;906596575;cynthiaramirez56@outlook.com;Paracas y Huacachina;21/06/2026;S/ 490.00;Plin;Luis Alvarado;Chat WhatsApp (Texto);NLP Sentimiento;Poca coordinación del grupo;Negativo (0.20)
RES-211;Alejandra Cabrera Del Águila;87293208;935646519;alejandracabrera26@gmail.com;Iquitos Amazónico;23/06/2026;S/ 2,410.00;Plin;María Castillo;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 2410.00 | Op: 67243;Validado
RES-212;Alberto Gonzales Vega;60598851;917979688;alberto_gonzales@gmail.com;Paracas y Huacachina;15/09/2026;S/ 530.00;Plin;Carlos Mendoza;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 530.00 | Op: 35290;Validado
RES-213;Marco Sánchez Cusi;67774765;910143888;marcosanchez75@yahoo.com;Paracas y Huacachina;28/09/2026;S/ 405.00;Transferencia;Luis Alvarado;Chat WhatsApp (Audio);NLP Sentimiento;El guía no explicó mucho;Negativo (0.20)
RES-214;Miguel Aguilar Palomino;21523236;912545738;maguilar@yahoo.com;Full Day Antioquía;24/08/2026;S/ 110.00;Yape;María Castillo;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 110.00 | Op: 10512;Validado
RES-215;Alejandra Espinoza Pizarro;33414716;982586736;alejandraespinoza81@hotmail.com;Full Day Lunahuaná;20/06/2026;S/ 105.00;Plin;Ana Torres;Chat WhatsApp (Texto);NLP Sentimiento;Superó mis expectativas;Positivo (0.95)
RES-216;Gabriela Paredes Torres;87490324;918255371;gabriela_paredes@outlook.com;Full Day Lunahuaná;28/09/2026;S/ 120.00;Yape;María Castillo;Chat WhatsApp (Texto);NLP Sentimiento;Volveríamos sin dudarlo;Positivo (0.95)
RES-217;Vanessa Saavedra Flores;27978165;951341252;vanessa_saavedra@yahoo.com;Tarapoto Selva;17/08/2026;S/ 1,625.00;Yape;Jorge Benítez;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 1625.00 | Op: 82742;Validado
RES-218;Camila Meza Guzmán;93135800;905072368;camila_meza@yahoo.com;Iquitos Amazónico;22/08/2026;S/ 1,565.00;Plin;Carlos Mendoza;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 1565.00 | Op: 34043;Validado
RES-219;Víctor Aguilar Fernández;71380637;997881914;vaguilar@gmail.com;Iquitos Amazónico;17/08/2026;S/ 1,775.00;Yape;Luis Alvarado;Chat WhatsApp (Audio);NLP Sentimiento;El tour estuvo bien;Neutro (0.50)
RES-220;Julio Cárdenas Yupanqui;21674661;971339596;juliocardenas22@hotmail.com;Máncora Playas;23/09/2026;S/ 1,565.00;Plin;María Castillo;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 1565.00 | Op: 54494;Validado
RES-221;Hernán Ramírez Chávez;65243509;904223253;hernan_ramirez@yahoo.com;Tarapoto Selva;08/07/2026;S/ 1,630.00;Plin;Ana Torres;Chat WhatsApp (Texto);NLP Sentimiento;Todo puntual;Positivo (0.95)
RES-222;Yesenia Vela Paredes;59535894;977590175;yesenia_vela@hotmail.com;Full Day Lunahuaná;04/09/2026;S/ 130.00;Yape;María Castillo;Chat WhatsApp (Audio);NLP Sentimiento;Guía muy servicial;Positivo (0.95)
RES-223;Marco Del Águila Cusi;16497381;901701277;marco_del aguila@hotmail.com;Tarapoto Selva;17/07/2026;S/ 2,040.00;Yape;María Castillo;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 2040.00 | Op: 54152;Validado
RES-224;Ana Sánchez Cabrera;51004756;936110371;anasanchez17@yahoo.com;Cusco - Machu Picchu;27/07/2026;S/ 865.00;Transferencia;Ana Torres;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 865.00 | Op: 71361;Validado
RES-225;Iván Ramírez Ramírez;52057323;954262218;ivan.ramirez@hotmail.com;Iquitos Amazónico;24/06/2026;S/ 1,460.00;Plin;Luis Alvarado;Chat WhatsApp (Texto);NLP Sentimiento;Recomendado al 100%;Positivo (0.95)
RES-226;Gabriela Flores Ramírez;28792245;919656523;gabriela.flores@hotmail.com;Huaraz Laguna 69;07/05/2026;S/ 245.00;Transferencia;María Castillo;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 245.00 | Op: 89836;Validado
RES-227;Manuel Rojas Espinoza;76422705;961379180;mrojas@hotmail.com;Full Day Lunahuaná;23/09/2026;S/ 130.00;Plin;Jorge Benítez;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 130.00 | Op: 71091;Validado
RES-228;Carlos Cárdenas Reyes;15345470;906848666;carloscardenas11@outlook.com;Full Day Antioquía;08/09/2026;S/ 100.00;Efectivo;Luis Alvarado;Chat WhatsApp (Audio);NLP Sentimiento;Todo puntual;Positivo (0.95)
RES-229;Karen Vega Espinoza;17772004;931617990;karenvega40@gmail.com;Cusco - Machu Picchu;03/05/2026;S/ 2,020.00;Yape;María Castillo;Chat WhatsApp (Audio);NLP Sentimiento;Guía muy servicial;Positivo (0.95)
RES-230;Alejandra Paredes Vargas;13940129;956481491;alejandra_paredes@outlook.com;Cusco - Machu Picchu;23/09/2026;S/ 1,675.00;Yape;Luis Alvarado;Chat WhatsApp (Audio);NLP Sentimiento;El guía llegó algo tarde;Neutro (0.50)
RES-231;Ximena Vargas Salazar;78293320;900030756;ximenavargas20@gmail.com;Full Day Lunahuaná;03/07/2026;S/ 95.00;Plin;María Castillo;Chat WhatsApp (Audio);NLP Sentimiento;El guía llegó algo tarde;Neutro (0.50)
RES-232;Milagros Vargas Vela;17069536;923806174;mvargas@gmail.com;Iquitos Amazónico;21/06/2026;S/ 915.00;Yape;María Castillo;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 915.00 | Op: 75973;Validado
RES-233;Iván Coronado Espinoza;30208677;906038505;ivan_coronado@outlook.com;Full Day Antioquía;30/06/2026;S/ 95.00;Plin;Carlos Mendoza;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 95.00 | Op: 41038;Validado
RES-234;Eduardo Rivera Medina;21395409;991826199;eduardo_rivera@hotmail.com;Máncora Playas;20/07/2026;S/ 950.00;Efectivo;Ana Torres;Chat WhatsApp (Audio);NLP Sentimiento;Volveríamos sin dudarlo;Positivo (0.95)
RES-235;Ricardo Torres Castillo;28268622;991212775;ricardo.torres@outlook.com;Máncora Playas;27/08/2026;S/ 1,140.00;Yape;Carlos Mendoza;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 1140.00 | Op: 24903;Validado
RES-236;Fernando Gonzales Flores;43315361;956804420;fernando_gonzales@hotmail.com;Full Day Antioquía;05/06/2026;S/ 110.00;Yape;Carlos Mendoza;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 110.00 | Op: 23651;Validado
RES-237;Jhoana Saavedra Cárdenas;20064609;901372151;jhoana_saavedra@gmail.com;Tarapoto Selva;19/08/2026;S/ 2,100.00;Transferencia;Ana Torres;Chat WhatsApp (Texto);NLP Sentimiento;El paisaje fue espectacular;Positivo (0.95)
RES-238;Camila Yupanqui Reyes;35118997;944720999;cyupanqui@yahoo.com;Full Day Lunahuaná;31/08/2026;S/ 135.00;Yape;María Castillo;Chat WhatsApp (Texto);NLP Sentimiento;Superó mis expectativas;Positivo (0.95)
RES-239;Mariana Pizarro Espinoza;94658420;980657875;mpizarro@yahoo.com;Huaraz Laguna 69;21/07/2026;S/ 150.00;Plin;Carlos Mendoza;Chat WhatsApp (Audio);NLP Sentimiento;Recomendado al 100%;Positivo (0.95)
RES-240;Katherine Yupanqui Saavedra;41240803;921334803;katherine_yupanqui@outlook.com;Tarapoto Selva;29/09/2026;S/ 1,090.00;Yape;María Castillo;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 1090.00 | Op: 59929;Validado
RES-241;José Del Águila Coronado;51480401;927010393;jose_del aguila@gmail.com;Paracas y Huacachina;21/06/2026;S/ 615.00;Transferencia;María Castillo;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 615.00 | Op: 50029;Validado
RES-242;Melissa Gonzales Vargas;80638102;951569154;melissagonzales42@hotmail.com;Full Day Lunahuaná;02/09/2026;S/ 130.00;Plin;Luis Alvarado;Chat WhatsApp (Audio);NLP Sentimiento;Guía muy servicial;Positivo (0.95)
RES-243;Roberto Zúñiga Aguilar;27092408;920969029;robertozuniga41@gmail.com;Iquitos Amazónico;20/05/2026;S/ 1,125.00;Yape;María Castillo;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 1125.00 | Op: 15704;Validado
RES-244;Gabriela Espinoza Torres;57040785;941006762;gabriela_espinoza@yahoo.com;Paracas y Huacachina;26/05/2026;S/ 470.00;Transferencia;Jorge Benítez;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 470.00 | Op: 27104;Validado
RES-245;Luis Meza Cárdenas;24055958;915262181;luis_meza@gmail.com;Full Day Lunahuaná;12/06/2026;S/ 135.00;Plin;Ana Torres;Captura de pantalla (.jpg);OCR Tesseract;Monto: S/ 135.00 | Op: 01533;Validado
RES-246;Eduardo Núñez Coronado;45603234;944310698;eduardonunez63@gmail.com;Paracas y Huacachina;23/05/2026;S/ 250.00;Yape;Jorge Benítez;Chat WhatsApp (Texto);NLP Sentimiento;Excelente tour;Positivo (0.95)
RES-247;Gabriela Fernández Cabrera;49166271;917146774;gabriela_fernandez@hotmail.com;Paracas y Huacachina;03/08/2026;S/ 605.00;Yape;Carlos Mendoza;Chat WhatsApp (Audio);NLP Sentimiento;Volveríamos sin dudarlo;Positivo (0.95)
RES-248;Ricardo Paredes Bardales;18273096;921158693;ricardo.paredes@yahoo.com;Full Day Lunahuaná;30/08/2026;S/ 140.00;Plin;Luis Alvarado;Chat WhatsApp (Texto);NLP Sentimiento;El paisaje fue espectacular;Positivo (0.95)
RES-249;Melissa Huamán Vela;86667841;989921722;melissahuaman28@hotmail.com;Cusco - Machu Picchu;20/08/2026;S/ 1,550.00;Yape;Luis Alvarado;Chat WhatsApp (Audio);NLP Sentimiento;Todo puntual;Positivo (0.95)
RES-250;Rosa Benites Núñez;63332084;985487099;rosa_benites@gmail.com;Full Day Lunahuaná;23/09/2026;S/ 95.00;Plin;Carlos Mendoza;Captura de pantalla (.png);OCR Tesseract;Monto: S/ 95.00 | Op: 91485;Validado
